ESAME;DESCRIZIONE;PROVETTA
L0398   ;S-APOLIPOPROTEINA B                                                             ;SY-T.GIALLO
L0399   ;S-LIPOPROTEINA (a)                                                              ;SY-T.GIALLO
L0400   ;S-TNF (TUMOR NECROSIS FACTOR)                                                   ;SY-T.GIALLO CONG
L0401   ;eGFR Velocit di Filtrazione Glomerulare                                        ;T.GIALLO
L0405   ;U-ACIDO ACETICO fine turno                                                      ;CE-Urine F.T.
L0409   ;S-COLESTEROLO LDL (determinazione dir.)                                         ;T.GIALLO
L0410   ;LDL OSSIDATE                                                                    ;SY-T.GIALLO CONG
L0411   ;DAO TEST                                                                        ;SY-T.GIALLO
L0415   ;S-TIROXINA (T4)                                                                 ;SY-T.GIALLO
L0420   ;U-LEGIONELLA PNEUMOPHILA ANTIG. SOLUB.                                          ;SY-Urine
L0421   ;S-ANTI CYTOMEGALOVIRUS ANTICORPI IgG IgM                                        ;T.GIALLO 3
L0422   ;BORDETELLA ANTICORPI IGG-IGM                                                    ;SY-T.GIALLO
L0424   ;VIRUS PAROTITE ANTICORPI IgG e IgM                                              ;SY-T.GIALLO
L0425   ;BARTONELLA RICERCA ANTICORPI IgG e IgM                                          ;SY-T.GIALLO
L0426   ;BORRELIA ANTICORPI IgG e IgM                                                    ;SY-T.GIALLO
L0427   ;CHLAMYDOPHILA PNEUMONIAE ANTICORPI IGG-IGM                                      ;SY-T.GIALLO
L0428   ;CHLAMYDIA TRACHOMATIS ANTICORPI IGG-IGM                                         ;SY-T.GIALLO
L0429   ;MYCOPLASMA PNEUMONIAE ANTICORPI IgG e IgM                                       ;SY-T.GIALLO
L0430   ;VIRUS MORBILLO ANTICORPI IGG-IGM                                                ;SY-T.GIALLO
L0431   ;VIRUS PARVOVIRUS B19 ANTICORPI IgG e IgM                                        ;SY-T.GIALLO
L0433   ;TAMPONE MOLECOLARE INGLESE ASSOCIATO AL L0965                                   ;
L0451   ;ANTICORPI ANTI WEST NILE IgG                                                    ;SY-T.GIALLO
L0452   ;ANTICORPI ANTI WEST NILE IgM                                                    ;SY-T.GIALLO
L0467   ;ES.CITOLOGICO URINE PER RICERCA CELLULE NEOPLASTICHE SU 3 CAMPIONI IN GG SUCCES.;UR.CITOL X3
L0474   ;S-HBsAg TEST DI CONFERMA                                                        ;SY-T.GIALLO
L0477   ;P-ANALISI QUANTITATIVA EPATITE B(HBV)DNA                                        ;SY-T.GIALLO1 CONG
L0478   ;S-WIDAL-WRIGHT (salmonelle-brucelle ant)                                        ;SY-T.GIALLO
L0479   ;ESAME CITOLOGICO SECRETO NASALE                                                 ;CIT.SEC.NASO
L0480   ;ESAME CITOLOGICO ESPETTORATO Campione 3                                         ;ESPETTORATO 3
L0481   ;ESAME CITOLOGICO (VARI)                                                         ;CITOL. VARI
L0482   ;S-PSA Reflex                                                                    ;T.GIALLO
L0483   ;ESAME CITOLOGICO URINARIO Campione 2                                            ;UR.CITOL 2
L0484   ;ESAME CITOLOGICO ESCREATO campione 2                                            ;ESPETTORATO 2
L0485   ;S-VIRUS EPATITE DELTA (HDV): ANTICORPI                                          ;SY-T.GIALLO
L0486   ;S-SIERODIAGNOSI DI WIDAL                                                        ;SY-T.GIALLO
L0487   ;S-ANTICORPI TOT. ANTI EPATITE A (HAV Ab)                                        ;T.GIALLO 2
L0488   ;S-ANTICORPI ANTI EPATITE A IgM                                                  ;T.GIALLO 2
L0489   ;S-ANTIGENE DI SUPERFICIE EP. B (HBsAg)                                          ;T.GIALLO
L0490   ;S-ANTICORPI ANTI CORE EPATITE B (HBcAb)                                         ;T.GIALLO
L0491   ;S-A. ANTI CORE EPATITE B IgM (HBcAb IgM)                                        ;T.GIALLO
L0492   ;S-A. ANTI ENVELOPE EPATITE B (HBeAb)                                            ;T.GIALLO 2
L0493   ;S-ANTICORPI ANTI SUPERFICIE B (HBsAb)                                           ;T.GIALLO
L0494   ;S-ANTIGENE ENVELOPE EPATITE B (HBeAg)                                           ;T.GIALLO 2
L0495   ;S-ANTICORPI ANTI EPATITE C (HCV Ab)                                             ;T.GIALLO
L0496   ;P-ANALISI QUALITATIVA EPATITE C RNA                                             ;SY-T.GIALLO2 CONG
L0497   ;ESAME CITOLOGICO URINARIO campione 1                                            ;UR.CITOL 1
L0498   ;ESAME CITOLOGICO URINARIO campione 3                                            ;UR.CITOL 3
L0499   ;P-ANALISI QUANTITATIVA EPATITE C RNA                                            ;SY-T.GIALLO2 CONG
L0500   ;U-ESAME COMPLETO URINE                                                          ;URINE
L0509   ;SPERMIOGRAMMA                                                                   ;SPERMA
L0514   ;MICOPLASMI UROGENITALI TAMPONE VAGINALE                                         ;MYCOP. T.VAG.
L0515   ;MICOPLASMI UROGENITALI TAMPONE URETRALE                                         ;MYCOP. T.UR
L0516   ;MICOPLASMI UROGENITALI TAMPONE CERVICALE                                        ;MYCOP.T.CERV.
L0517   ;MICOPLASMI UROGENITALI LIQUIDO SEMINALE                                         ;MYCOP.L.SEM.
L0525   ;TAMPONE FARINGEO PER S.PYOGENES (SGA)                                           ;T.FAR.STR A
L0529   ;ESAME COLTURALE SU TAMPONE CUTANEO                                              ;T.CUTANEO
L0531   ;F-ESAME COLTURALE PER YERSINIA ENTEROCOL                                        ;SY-Feci
L0532   ;ESAME COLTURALE SU TAMPONE VULVARE                                              ;T.VULVARE
L0534   ;ESAME COLTURALE                                                                 ;ES.COLTURALE
L0535   ;ESAME COLTURALE SU TAMPONE ENDOMETRIALE                                         ;SY_COLT.ENDO
L0536   ;ESAME COLTURALE TAMPONE CONGIUNTIVALE SN                                        ;T.OCULARE SX
L0537   ;ESAME COLTURALE TAMP.VULVARE PEDIATRICO                                         ;T.VULV.PED.
L0538   ;PROTEINE URINARIE DELLE 24 H                                                    ;URINE 24 ore
L0540   ;ESAME COLTURALE SU TAMPONE TONSILLARE                                           ;T.TONSILLARE
L0542   ;HELICOBACTER PYLORI-Ricerca Ag (Feci)                                           ;FECI Ag HP
L0544   ;CLOSTRIDIOIDES DIFFICILE RIC.TOSSINA A+B                                        ;FECI
L0546   ;ADENOVIRUS RICERCA ANTIGENE (FECI)                                              ;FECI
L0547   ;RICERCA MICETI (FECI)                                                           ;MICETI FECI
L0548   ;ESAME CITOLOGICO ESPETTORATO                                                    ;ESPETTORATO 1
L0549   ;METANEFRINE URINARIE 24 H                                                       ;SY-Urine 24h Acid.
L0551   ;MICOPLASMI UROGENITALI (Ur)                                                     ;MYCOP.URINE
L0558   ;ESAME CITOLOGICO PER RICERCA SIDEROCITI                                         ;Espett.x Siderociti
L0560   ;PIRIDINOLINA TOTALE URINE 24 H                                                  ;SY-Urine
L0562   ;F-SANGUE OCCULTO CAMPIONE 2                                                     ;FECI S.O. 2
L0563   ;F-RICERCA PARASSITI INTESTINALI (camp.2)                                        ;FECI CAMP 2
L0564   ;ESAME COLTURALE SU TAMPONE GENGIVALE                                            ;T.GENGIVALE
L0567   ;F-CALPROTECTINA                                                                 ;FECI CONG
L0572   ;TAMPONE VAGINALE E RETTALE                                                      ;T.VAG-RETT.
L0575   ;ANTICORPI ANTI PERTOSSE IgA                                                     ;T.GIALLO 2
L0576   ;ANTICORPI ANTI PERTOSSE IgG                                                     ;T.GIALLO 2
L0577   ;ANTICORPI ANTI PERTOSSE IgM                                                     ;SY-T.GIALLO
L0578   ;ANTICORPI ANTI TOXOPLASMA IgG                                                   ;T.GIALLO 3
L0579   ;ANTICORPI ANTI TOXOPLASMA IgM                                                   ;T.GIALLO 3
L0580   ;ANTICORPI ANTI ROSOLIA IgG                                                      ;T.GIALLO 3
L0581   ;ANTICORPI ANTI ROSOLIA IgM                                                      ;T.GIALLO 3
L0582   ;ANTICORPI ANTI CYTOMEGALOVIRUS IgG                                              ;T.GIALLO 3
L0583   ;ANTICORPI ANTI CYTOMEGALOVIRUS IgM                                              ;T.GIALLO 3
L0584   ;A. ANTI HERPES SIMPLEX TIPO 1 IgG                                               ;T.GIALLO 2
L0585   ;A. ANTI HERPES SIMPLEX TIPO 2 IgG                                               ;T.GIALLO 2
L0586   ;A. ANTI HERPES SIMPLEX TIPO 1/2  IgM                                            ;T.GIALLO 2
L0587   ;ANTICORPI ANTI PAROTITE IgG                                                     ;SY-T.GIALLO
L0588   ;SIERODIAGNOSI DI WEIL-FELIX                                                     ;SY-T.GIALLO
L0589   ;ANTICORPI ANTI MORBILLO IgG                                                     ;SY-T.GIALLO
L0590   ;ANTICORPI ANTI MORBILLO IgM                                                     ;SY-T.GIALLO
L0591   ;ANTICORPI ANTI VARICELLA ZOSTER IgG                                             ;T.GIALLO 2
L0592   ;ANTICORPI ANTI VARICELLA IgM                                                    ;T.GIALLO 3
L0593   ;ANTICORPI ANTI ADENOVIRUS IgG                                                   ;SY-T.GIALLO
L0594   ;ANTICORPI ANTI CARDIOLIPINA IgA                                                 ;T.GIALLO 2
L0595   ;ANTICORPI ANTI PAROTITE IGM                                                     ;SY-T.GIALLO
L0596   ;PRIMIDONE                                                                       ;SY-T.GIALLO
L0597   ;TOXOPLASMA IgG AVIDITY                                                          ;T.GIALLO 2
L0599   ;ANTICORPI ANTI TOXOPLASMA IgG/IgM                                               ;T.GIALLO 3
L0600   ;A.ANTI BETA 2 GLICOPROTEINA 1 IgG                                               ;T.GIALLO 2
L0601   ;A.ANTI BETA 2 GLICOPROTEINA 1 IgM                                               ;T.GIALLO 2
L0602   ;A.ANTI BETA 2 GLICOPROTEINA 1 IGA                                               ;T.GIALLO 2
L0603   ;ALFA 2 MACROGLOBULINA                                                           ;SY-T.GIALLO
L0605   ;ZONULINA FECALE                                                                 ;SY-Feci
L0606   ;ROTAVIRUS RICERCA ANTIGENE FECI                                                 ;FECI
L0607   ;RICERCA OSSIURI-SCOTCH TEST                                                     ;SCOTCH TEST
L0609   ;BETA 2 MICROGLOBULINE EMATICHE                                                  ;T.GIALLO 2
L0610   ;BETA 2 MICROGLOBULINE URINE                                                     ;URINE B2
L0644   ;ANTICORPI ANTI ENA SSA (Ro) 60 kD                                               ;SY-T.GIALLO
L0645   ;ANTICORPI ANTI ENA SSA (Ro) 52 kD                                               ;SY-T.GIALLO
L0646   ;INSULINA (3 DETERMINAZIONI)                                                     ;T.GIALLO
L0647   ;ENA: ANTIGENE ANTI SM/RNP                                                       ;SY-T.GIALLO
L0648   ;ENA: ANTIGENE ANTI SSB (La)                                                     ;SY-T.GIALLO
L0649   ;ENA: ANTIGENE ANTI SSA (Ro)                                                     ;SY-T.GIALLO
L0652   ;ANTICORPI ANTI CHLAMIDIA TRACHOMATIS IgA                                        ;SY-T.GIALLO
L0653   ;ANTICORPI ANTI CHLAMIDIA TRACHOMATIS IgM                                        ;SY-T.GIALLO
L0654   ;A. ANTI CHLAMYDOPHILA PNEUMONIAE IgM                                            ;SY-T.GIALLO
L0655   ;ANTICORPI ANTI ENDOMISIO IgG                                                    ;SY-T.GIALLO
L0656   ;ANTICORPI ANTI MYCOPLASMA PNEUMONIAE IgM                                        ;T.GIALLO 2
L0657   ;ENA: ANTIGENE ANTI Sm                                                           ;SY-T.GIALLO
L0658   ;ENA:  ANTIGENE ANTI JO1                                                         ;SY-T.GIALLO
L0659   ;ENA: ANTIGENE ANTI SCL-70                                                       ;SY-T.GIALLO
L0660   ;DOPAMINA                                                                        ;SY-T.Viola CONG
L0661   ;VITAMINA B12                                                                    ;T.GIALLO
L0662   ;FOLATI                                                                          ;T.GIALLO
L0663   ;ACIDI BILIARI                                                                   ;SY-T.GIALLO
L0664   ;ANTICORPI ANTI CHLAMIDIA TRACHOMATIS IgG                                        ;SY-T.GIALLO
L0665   ;ANTICORPI ANTI CELLULE PARIETALI (APCA)                                         ;T.GIALLO 2
L0666   ;ANTICORPI ANTI HIV 1-2                                                          ;T.GIALLO
L0667   ;ANTICORPI ANTI TRANSGLUTAMINASI IgA                                             ;T.GIALLO 2
L0668   ;HCV TEST DI CONFERMA (WB)                                                       ;T.GIALLO 2
L0669   ;ALDOSTERONE URINE 24 H                                                          ;SY-Urine 24h
L0671   ;HIV1/HIV2 RIBA (Test di conferma)                                               ;T.GIALLO 2
L0672   ;ANTICOAGULANTE LUPUS-LIKE (LAC)                                                 ;SY-T.Azz. CONG
L0673   ;INIBINA B                                                                       ;SY-T.GIALLO CONG
L0675   ;A.ANTI MICROSOMI EPATICI E RENALI (LKMA)                                        ;T.GIALLO 2
L0676   ;CERULOPLASMINA                                                                  ;SY-T.GIALLO
L0677   ;Immunocomplessi circolanti                                                      ;SY-T.GIALLO
L0678   ;ANTICORPI ANTI TREPONEMA PALLIDUM IgM                                           ;SY-T.GIALLO
L0679   ;ANTICORPI ANTI TREPONEMA PALLIDUM IgG                                           ;SY-T.GIALLO
L0681   ;ALFA 1 ANTITRIPSINA                                                             ;SY-T.GIALLO
L0682   ;ANGIOTENSIN CONVERTING ENZYME (ACE)                                             ;SY-T.GIALLO
L0683   ;ANTICORPI ANTI TOSSINA TETANICA                                                 ;T.GIALLO 3
L0684   ;ANTICORPI ANTI HELICOBACTER IgG                                                 ;T.GIALLO 2
L0685   ;A.ANTI LEGIONELLA PNEUMOPHILA (IgG+IgM)                                         ;SY-T.GIALLO
L0686   ;ANTICORPI ANTI CARDIOLIPINA IgG                                                 ;T.GIALLO 2
L0687   ;ANTICORPI ANTI CARDIOLIPINA IgM                                                 ;T.GIALLO 2
L0688   ;ANTICORPI ANTI MUSCOLO STRIATO                                                  ;SY-T.GIALLO
L0689   ;ANTICORPI ANTI MUSCOLO LISCIO                                                   ;SY-T.GIALLO
L0690   ;ANTICORPI ANTI MITOCONDRI (AMA)                                                 ;T.GIALLO 2
L0691   ;ANTICORPI ANTI MYCOPLASMA PNEUMONIAE IgG                                        ;T.GIALLO 2
L0692   ;A. ANTI CHLAMYDOPHILA PNEUMONIAE IgG                                            ;SY-T.GIALLO
L0693   ;ANTICORPI ANTI DNA NATIVO                                                       ;T.GIALLO 2
L0694   ;INSULINA 4 DET.                                                                 ;T.GIALLO INS
L0695   ;ANTICORPI ANTI ENA ab (screening)                                               ;T.GIALLO 2
L0696   ;ANTICORPI ANTI NUCLEO ab screening (ANA)                                        ;T.GIALLO 2
L0697   ;ANTICORPI ANTI ENDOMISIO IgA                                                    ;SY-T.GIALLO
L0698   ;ANTICORPI ANTI GLIADINA DEAMIDATA IgG                                           ;T.GIALLO 2
L0699   ;ANTICORPI ANTI GLIADINA DEAMIDATA IgA                                           ;T.GIALLO 2
L0700   ;ACTH 2 determinazioni                                                           ;T.VIOLA CONG
L0701   ;ACTH                                                                            ;T.VIOLA CONG
L0702   ;ALDOSTERONE IN ORTOSTATISMO                                                     ;SY-T.Viola CONG
L0703   ;DIIDROTESTOSTERONE (DHT)                                                        ;SY-T.GIALLO
L0704   ;ESTRIOLO Libero                                                                 ;SY-T.GIALLO
L0705   ;ESTRONE (E1)                                                                    ;SY-T.GIALLO
L0707   ;SHBG (GLOB.LEGANTE ORMONI SESSUALI)                                             ;SY-T.GIALLO
L0708   ;TBG (GLOBULINA LEGANTE LA TIROXINA)                                             ;SY-T.GIALLO
L0709   ;DELTA 4 ANDROSTENEDIONE                                                         ;SY-T.GIALLO
L0710   ;BETA HCG ematico                                                                ;T.GIALLO
L0711   ;PARATORMONE (PTH)                                                               ;T.GIALLO CONG
L0712   ;FREE-T3 (TRIODOTIRONINA LIBERA)                                                 ;T.GIALLO
L0713   ;FREE-T4 (TIROXINA LIBERA)                                                       ;T.GIALLO
L0714   ;TSH (TIREOTROPINA)                                                              ;T.GIALLO
L0715   ;FSH (FOLLITROPINA)                                                              ;T.GIALLO
L0716   ;LH (LUTEOTROPINA))                                                              ;T.GIALLO
L0717   ;ESTRADIOLO (E2)                                                                 ;T.GIALLO
L0718   ;PROGESTERONE                                                                    ;T.GIALLO
L0719   ;TESTOSTERONE TOTALE                                                             ;T.GIALLO
L0720   ;PROLATTINA                                                                      ;T.GIALLO
L0721   ;PROLATTINA (2 DET)                                                              ;T.GIALLO
L0722   ;CORTISOLO                                                                       ;T.GIALLO
L0723   ;CORTISOLO (2 determinazioni)                                                    ;T.GIALLO
L0724   ;PROLATTINA (4 det)                                                              ;T.GIALLO
L0725   ;INSULINA (curva da carico fino a 5 det.)                                        ;T.GIALLO INS
L0726   ;ANTICORPI ANTI TIREOGLOBULINA (ABTG)                                            ;T.GIALLO
L0727   ;GASTRINA                                                                        ;SY-T.GIALLO CONG
L0728   ;INSULINA basale                                                                 ;T.GIALLO INS
L0729   ;RENINA DIRETTA IN CLINOSTATISMO                                                 ;SY-T.Viola CONG
L0730   ;OSTEOCALCINA                                                                    ;T.GIALLO CONG
L0731   ;DHEA                                                                            ;SY-T.GIALLO CONG
L0732   ;ANTICORPI ANTI RECETTORI TSH                                                    ;T.GIALLO 2
L0733   ;17 ALFA IDROSSIPROGESTERONE (17 OH-P)                                           ;T.GIALLO CONG
L0734   ;ANTICORPI ANTI TIREOPEROSSIDASI (AB TPO)                                        ;T.GIALLO
L0735   ;TIREOGLOBULINA (TG)                                                             ;T.GIALLO
L0736   ;DHEA-S                                                                          ;T.GIALLO 3
L0737   ;TESTOSTERONE LIBERO                                                             ;T.GIALLO 2
L0738   ;ALDOSTERONE IN CLINOSTATISMO                                                    ;SY-T.Viola CONG
L0740   ;MICROALBUMINURIA                                                                ;URINE
L0741   ;CORTISOLO urinario                                                              ;SY-Urine 24h
L0742   ;CALCITONINA                                                                     ;T.GIALLO 3
L0743   ;APTOGLOBINA                                                                     ;SY-T.GIALLO
L0744   ;FOSFATASI ACIDA PROSTATICA (PAP)                                                ;SY-T.GIALLO CONG
L0745   ;PSA TOTALE                                                                      ;T.GIALLO
L0746   ;PSA libero                                                                      ;T.GIALLO
L0747   ;ANTIGENE CARBOIDRATICO 15.3 (CA 15.3)                                           ;T.GIALLO
L0748   ;ANTIGENE CARBOIDRATICO 125 (CA  125)                                            ;T.GIALLO
L0749   ;ANTIGENE CARBOIDRATICO 19.9 (CA 19.9)                                           ;T.GIALLO
L0750   ;ANTIGENE CARCINO EMBRIONARIO (CEA)                                              ;T.GIALLO
L0751   ;ALFA 1 FETOPROTEINA                                                             ;T.GIALLO 2
L0752   ;ANTIGENE POLIPEPTIDICO TISSUTALE (TPA)                                          ;SY-T.GIALLO
L0753   ;NSE (ENOLASI NEURONALE SPECIFICA)                                               ;SY-T.GIALLO
L0754   ;CYFRA 21-1                                                                      ;SY-T.GIALLO
L0755   ;PROLATTINA (3 DET)                                                              ;T.GIALLO
L0756   ;RENINA DIRETTA IN ORTOSTATISMO                                                  ;SY-T.Viola CONG
L0757   ;ACIDO 5 OH-INDOLACETICO URINE 24 H                                              ;SY-Urine 24h Acid.
L0758   ;VITAMINA C (ACIDO ASCORBICO)                                                    ;T.AZZUR.CongBuio
L0759   ;PEPTIDE C                                                                       ;T.GIALLO 2
L0760   ;DIGOSSINA                                                                       ;SY-T.GIALLO
L0761   ;FENOBARBITALE                                                                   ;T.GIALLO 1
L0762   ;CARBAMAZEPINA                                                                   ;T.GIALLO 1
L0763   ;FENITOINA                                                                       ;SY-T.GIALLO
L0764   ;ACIDO VALPROICO                                                                 ;T.GIALLO 1
L0765   ;CICLOSPORINA                                                                    ;SY-T.Viola
L0766   ;TEOFILLINA                                                                      ;SY-T.GIALLO
L0767   ;ETOSUCCIMIDE                                                                    ;SY-T.GIALLO CONG
L0768   ;CISTATINA C                                                                     ;SY-T.GIALLO
L0769   ;MICROALBUMINURIA URINE 24 H                                                     ;URINE 24 ore
L0770   ;CICLOSPORINA 2 DETERMINAZIONI                                                   ;SY-T.Viola
L0771   ;ANTICORPI ANTI TRANSGLUTAMINASI IgG                                             ;T.GIALLO 2
L0772   ;ORMONE ANTI MULLERIANO (AMH)                                                    ;T.GIALLO CONG
L0773   ;A. ANTI GLUTAMMICO DECARBOSSILASI (GAD)                                         ;SY-T.GIALLO Cong
L0774   ;ANTICORPI ANTI INSULINA                                                         ;SY-T.GIALLO CONG
L0776   ;ORMONE SOMATOTROPO (HGH)                                                        ;T.GIALLO CONG
L0777   ;ORMONE SOMATOTROPO (HGH) 2 DET.                                                 ;T.GIALLO CONG
L0778   ;PEPTIDE NATRIURETICO B (BNP)                                                    ;T.VIOLA CONG
L0779   ;ANTICORPI ANTI CITRULLINA (CCP)                                                 ;T.GIALLO 2
L0780   ;TSH RIFLESSO                                                                    ;T.GIALLO
L0781   ;ACTH 3 determinazioni                                                           ;T.VIOLA CONG
L0781   ;ACTH 3 determinazioni                                                           ;T.VIOLA CONG
L0782   ;CORTISOLO 3 DET.                                                                ;T.GIALLO
L0783   ;A. ANTI-BORRELIA BURGDORFERI IgG                                                ;SY-T.GIALLO
L0784   ;A. ANTI-BORRELIA BURGDORFERI IgM                                                ;SY-T.GIALLO
L0785   ;ANTICORPI ANTI RETICOLINA                                                       ;SY-T.GIALLO
L0786   ;ANTICORPI ANTI DIFTERITE                                                        ;SY-T.GIALLO
L0789   ;CROMOGRANINA A                                                                  ;SY-T.GIALLO CONG
L0790   ;DOSAGGIO CATENE LEGGERE KAPPA LAMBDA URINARIE                                   ;SY-Urine 24 Nef
L0791   ;DOSAGGIO CATENE LEGGERE KAPPA LAMBDA SIERICHE                                   ;SY-T.GIALLO
L0792   ;ANTICORPI ANTI PIASTRINE                                                        ;SY-T.GIALLO
L0793   ;ANTICORPI ANTI RECETTORI ACETILCOLINA                                           ;SY-T.GIALLO
L0795   ;FRAZIONE C1Q DEL COMPLEMENTO                                                    ;SY-T.GIALLO
L0796   ;MONOIDROSSICARBAZEPINA                                                          ;SY-T.GIALLO CONG
L0797   ;VITAMINA A                                                                      ;T.Viola CongBuio
L0798   ;VITAMINA E                                                                      ;T.Viola CongBuio
L0800   ;A. ANTI CHLAMYDOPHILA PNEUMONIAE IgA                                            ;SY-T.GIALLO
L0801   ;PEPTIDE C (2 DET.)                                                              ;T.GIALLO 2
L0802   ;INSULINA (2 DET.)                                                               ;T.GIALLO INS
L0803   ;ESCHERICHIA COLI O:157 ESAME COLTURALE                                          ;SY-Feci(*VERDE)
L0804   ;A. ANTI CYTOMEGALOVIRUS AVIDITY                                                 ;
L0805   ;COMPLEMENTO (C1 INIBITORE)                                                      ;SY-T.GIALLO
L0806   ;TRANSFERRINA CARBOIDRATO CARENTE (CDT)                                          ;T.ROSSO CDT
L0807   ;VITAMINA D (25 OH)                                                              ;T.GIALLO 2
L0808   ;QUANTIFERON                                                                     ;T.VERDE
L0810   ;A.ANTI INSULA (ICA)                                                             ;SY-T.GIALLO
L0812   ;VITAMINA B1                                                                     ;T.Viola CongBuio
L0813   ;VITAMINA B6                                                                     ;T.Viola CongBuio
L0814   ;ANTICORPI ANTI BRUCELLA (metodo WRIGHT)                                         ;SY-T.GIALLO
L0815   ;DESOSSIPIRIDINOLINA URINE 24 H                                                  ;SY-Urine 24h
L0816   ;SOMATOMEDINA C (IGF-1)                                                          ;T.GIALLO CONG
L0817   ;ANDROSTENEDIOLO GLUCURONIDE                                                     ;SY-T.GIALLO Cong
L0818   ;ALFA 1 MICROGLOBULINA                                                           ;SY-Urine 
L0822   ;ANTICORPI ANTI CENTROMERO CENP-B                                                ;SY-T.GIALLO
L0823   ;CITRATO URINARIO 24H                                                            ;SY-Urine 24h
L0824   ;ESTRIOLO (E3)                                                                   ;SY-T.GIALLO
L0825   ;ANTICORPI ANTI PARVOVIRUS B19 IgG                                               ;SY-T.GIALLO
L0826   ;ANTICORPI ANTI PARVOVIRUS B19 IgM                                               ;SY-T.GIALLO
L0827   ;NT-Pro BNP                                                                      ;T.GIALLO Cong BNP
L0829   ;PREALBUMINA                                                                     ;SY-T.GIALLO
L0831   ;ESAME ISTOLOGICO                                                                ;ISTOLOGICO
L0832   ;HIV 1 RNA QUANTITATIVO                                                          ;SY-T.VIOLA CONG
L0833   ;ANTICORPI ANTI MAG (GLICOP. MIELINA)                                            ;SY-T.GIALLO CONG
L0834   ;A. ANTI GANGLIOSIDI Profilo completo IgG                                        ;SY-T.GIALLO
L0835   ;A. ANTI GANGLIOSIDI Profilo completo IgM                                        ;SY-T.GIALLO
L0836   ;FATTORE VII (PROCONVERTINA)                                                     ;SY-T.Azzurro CONG
L0838   ;ANTICORPI ANTI CUTE                                                             ;SY-T.GIALLO
L0840   ;BITEST                                                                          ;GE-T.GIALLO
L0841   ;A.ANTI HTLV I/II SCREENING                                                      ;SY-T.GIALLO
L0842   ;HLA B27 DNA                                                                     ;T.VIOLA
L0843   ;LAMOTRIGINA                                                                     ;SY-T.GIALLO CONG
L0846   ;BIOPSIA ENDOMETRIALE                                                            ;ISTOLOGICO
L0848   ;SOMA HERCEP-TEST (HER2)                                                         ;ISTOLOGICO
L0849   ;PARASSITI Feci dopo concentraz camp. 2                                          ;FECI CAMP 2
L0850   ;PARASSITI Feci dopo concentraz camp.3                                           ;FECI CAMP 3
L0852   ;Synlab_Prest per FOSFATASI ALCALINA                                             ;SY-T.GIALLO
L0854   ;Synlab S.Stupefacenti Amministrativo                                            ;
L0920   ;D-DIMERO                                                                        ;T.AZZURRO DID.
L0922   ;INDICE HOMA                                                                     ;T.GIALLO
L0924   ;A. ANTI VIRUS COXSACKIE A IgG TOTALI                                            ;SY-T.GIALLO
L0925   ;A. ANTI VIRUS COXSACKIE B IgG TOTALI                                            ;SY-T.GIALLO
L0926   ;DISBIOSI TEST                                                                   ;Urine Disbiosi
L0928   ;GASTROPROFILE                                                                   ;SY-T.GIALLO CONG
L0929   ;ESAME COLTURALE PER RICERCA MICETI                                              ;MICETI
L0930   ;ANTICORPI ANTI ISTONI                                                           ;SY-T.GIALLO
L0931   ;PROCALCITONINA                                                                  ;SY-T.GIALLO
L0932   ;HE4                                                                             ;SY-T.GIALLO
L0934   ;DOSAGGIO CATENE LEGGERE LIBERE K E LAMBDA URINARIE (24 H)                       ;SY-Urine 24
L0935   ;FATTORE DELLA COAGULAZIONE VIIIc                                                ;SY-T.Azzurro CONG
L0936   ;VON WILLEBRAND ATTIVITA'                                                        ;SY-T.Azzurro CONG
L0937   ;METABOLITI REATTIVI OSSIGENO                                                    ;SY-T.GIALLO
L0938   ;POTENZIALE BIOLOG.ANTIOSSIDANTE                                                 ;SY-T.GIALLO
